from,to,value,id
US,Film & Video,77,1005023399-0
Film & Video,40-50 days,77,1005023399-1
40-50 days,failed,77,1005023399-2
failed,50% - 100%,77,1005023399-3
US,Design,485,1005027414-0
Design,40-50 days,485,1005027414-1
40-50 days,successful,485,1005027414-2
successful,> 200%,485,1005027414-3
US,Comics,65,1005044737-0
Comics,30-50 days,65,1005044737-1
30-50 days,canceled,65,1005044737-2
canceled,< 10%,65,1005044737-3
US,Games,304,1005051188-0
Games,30-50 days,304,1005051188-1
30-50 days,failed,304,1005051188-2
failed,25% - 50%,304,1005051188-3
US,Photography,120,1005053619-0
Photography,> 50 days,120,1005053619-1
> 50 days,canceled,120,1005053619-2
canceled,< 10%,120,1005053619-3
CA,Design,67,1005072752-0
Design,20-30 days,67,1005072752-1
20-30 days,successful,67,1005072752-2
successful,120% - 200%,67,1005072752-3
US,Film & Video,252,1005100517-0
Film & Video,40-50 days,252,1005100517-1
40-50 days,failed,252,1005100517-2
failed,25% - 50%,252,1005100517-3
AU,Art,27,1005115850-0
Art,> 50 days,27,1005115850-1
> 50 days,failed,27,1005115850-2
failed,< 10%,27,1005115850-3
GB,Games,35,1005125521-0
Games,10-20 days,35,1005125521-1
10-20 days,successful,35,1005125521-2
successful,120% - 200%,35,1005125521-3
AU,Games,67,100513718-0
Games,20-30 days,67,100513718-1
20-30 days,successful,67,100513718-2
successful,> 200%,67,100513718-3
US,Publishing,223,1005139968-0
Publishing,40-50 days,223,1005139968-1
40-50 days,failed,223,1005139968-2
failed,10% - 25%,223,1005139968-3
US,Music,345,1005149661-0
Music,40-50 days,345,1005149661-1
40-50 days,failed,345,1005149661-2
failed,10% - 25%,345,1005149661-3
IE,Technology,1,1005150398-0
Technology,40-50 days,1,1005150398-1
40-50 days,canceled,1,1005150398-2
canceled,< 10%,1,1005150398-3
US,Dance,322,1005163765-0
Dance,30-50 days,322,1005163765-1
30-50 days,successful,322,1005163765-2
successful,100% - 120%,322,1005163765-3
N,0",Music,437,1005185256-0
Music,20-30 days,437,1005185256-1
20-30 days,undefined,437,1005185256-2
undefined,< 10%,437,1005185256-3
IE,Design,5,1005191083-0
Design,30-50 days,5,1005191083-1
30-50 days,failed,5,1005191083-2
failed,25% - 50%,5,1005191083-3
N,0",Film & Video,26,100522240-0
Film & Video,20-30 days,26,100522240-1
20-30 days,undefined,26,100522240-2
undefined,10% - 25%,26,100522240-3
US,Fashion,9,1005227930-0
Fashion,> 50 days,9,1005227930-1
> 50 days,canceled,9,1005227930-2
canceled,25% - 50%,9,1005227930-3
US,Journalism,61,1005235197-0
Journalism,> 50 days,61,1005235197-1
> 50 days,successful,61,1005235197-2
successful,100% - 120%,61,1005235197-3
AU,Games,23,1005239027-0
Games,> 50 days,23,1005239027-1
> 50 days,canceled,23,1005239027-2
canceled,< 10%,23,1005239027-3
US,Publishing,12,100524873-0
Publishing,> 50 days,12,100524873-1
> 50 days,suspended,12,100524873-2
suspended,< 10%,12,100524873-3
FR,Games,97,100525355-0
Games,20-30 days,97,100525355-1
20-30 days,failed,97,100525355-2
failed,< 10%,97,100525355-3
US,Design,67,1005254734-0
Design,20-30 days,67,1005254734-1
20-30 days,canceled,67,1005254734-2
canceled,50% - 100%,67,1005254734-3
US,Fashion,140,1005283757-0
Fashion,< 10 days,140,1005283757-1
< 10 days,failed,140,1005283757-2
failed,< 10%,140,1005283757-3
AU,Food,9,1005286348-0
Food,> 50 days,9,1005286348-1
> 50 days,canceled,9,1005286348-2
canceled,< 10%,9,1005286348-3
US,Technology,205,1005302689-0
Technology,20-30 days,205,1005302689-1
20-30 days,failed,205,1005302689-2
failed,50% - 100%,205,1005302689-3
US,Theater,96,1005364432-0
Theater,> 50 days,96,1005364432-1
> 50 days,canceled,96,1005364432-2
canceled,< 10%,96,1005364432-3
US,Dance,141,1005383742-0
Dance,40-50 days,141,1005383742-1
40-50 days,successful,141,1005383742-2
successful,100% - 120%,141,1005383742-3
AU,Fashion,1,1005393753-0
Fashion,40-50 days,1,1005393753-1
40-50 days,failed,1,1005393753-2
failed,25% - 50%,1,1005393753-3
GB,Music,398,1005395063-0
Music,20-30 days,398,1005395063-1
20-30 days,successful,398,1005395063-2
successful,100% - 120%,398,1005395063-3
DE,Technology,12,1005397520-0
Technology,20-30 days,12,1005397520-1
20-30 days,failed,12,1005397520-2
failed,50% - 100%,12,1005397520-3
US,Theater,464,1005400392-0
Theater,10-20 days,464,1005400392-1
10-20 days,successful,464,1005400392-2
successful,100% - 120%,464,1005400392-3
US,Technology,48,1005413300-0
Technology,10-20 days,48,1005413300-1
10-20 days,failed,48,1005413300-2
failed,10% - 25%,48,1005413300-3
CA,Design,5,1005422939-0
Design,10-20 days,5,1005422939-1
10-20 days,failed,5,1005422939-2
failed,50% - 100%,5,1005422939-3
DE,Technology,9,1005423973-0
Technology,20-30 days,9,1005423973-1
20-30 days,successful,9,1005423973-2
successful,120% - 200%,9,1005423973-3
US,Fashion,19,1005469380-0
Fashion,> 50 days,19,1005469380-1
> 50 days,canceled,19,1005469380-2
canceled,10% - 25%,19,1005469380-3
MX,Technology,26,1005477477-0
Technology,> 50 days,26,1005477477-1
> 50 days,failed,26,1005477477-2
failed,< 10%,26,1005477477-3
GB,Dance,8,1005488974-0
Dance,20-30 days,8,1005488974-1
20-30 days,failed,8,1005488974-2
failed,25% - 50%,8,1005488974-3
GB,Art,71,1005519605-0
Art,10-20 days,71,1005519605-1
10-20 days,successful,71,1005519605-2
successful,100% - 120%,71,1005519605-3
US,Fashion,31,1005523562-0
Fashion,30-50 days,31,1005523562-1
30-50 days,canceled,31,1005523562-2
canceled,25% - 50%,31,1005523562-3
NO,Games,13,1005556588-0
Games,20-30 days,13,1005556588-1
20-30 days,canceled,13,1005556588-2
canceled,< 10%,13,1005556588-3
US,Dance,317,1005580823-0
Dance,20-30 days,317,1005580823-1
20-30 days,failed,317,1005580823-2
failed,< 10%,317,1005580823-3
IT,Music,3,100558945-0
Music,30-50 days,3,100558945-1
30-50 days,successful,3,100558945-2
successful,100% - 120%,3,100558945-3
US,Film & Video,3,1005618996-0
Film & Video,30-50 days,3,1005618996-1
30-50 days,suspended,3,1005618996-2
suspended,100% - 120%,3,1005618996-3
N,0",Music,136,1005653464-0
Music,> 50 days,136,1005653464-1
> 50 days,undefined,136,1005653464-2
undefined,< 10%,136,1005653464-3
SE,Crafts,1,1005682456-0
Crafts,20-30 days,1,1005682456-1
20-30 days,canceled,1,1005682456-2
canceled,< 10%,1,1005682456-3
CA,Design,39,1005707504-0
Design,30-50 days,39,1005707504-1
30-50 days,canceled,39,1005707504-2
canceled,< 10%,39,1005707504-3
IT,Design,8,1005715738-0
Design,30-50 days,8,1005715738-1
30-50 days,canceled,8,1005715738-2
canceled,< 10%,8,1005715738-3
US,Design,131,1005724342-0
Design,30-50 days,131,1005724342-1
30-50 days,canceled,131,1005724342-2
canceled,10% - 25%,131,1005724342-3
AU,Fashion,53,1005725530-0
Fashion,20-30 days,53,1005725530-1
20-30 days,canceled,53,1005725530-2
canceled,< 10%,53,1005725530-3
GB,Music,122,1005731433-0
Music,30-50 days,122,1005731433-1
30-50 days,successful,122,1005731433-2
successful,100% - 120%,122,1005731433-3
NL,Design,61,1005739445-0
Design,20-30 days,61,1005739445-1
20-30 days,failed,61,1005739445-2
failed,< 10%,61,1005739445-3
US,Journalism,29,1005745574-0
Journalism,30-50 days,29,1005745574-1
30-50 days,canceled,29,1005745574-2
canceled,< 10%,29,1005745574-3
US,Publishing,405,1005801266-0
Publishing,30-50 days,405,1005801266-1
30-50 days,failed,405,1005801266-2
failed,10% - 25%,405,1005801266-3
GB,Fashion,94,1005820080-0
Fashion,30-50 days,94,1005820080-1
30-50 days,failed,94,1005820080-2
failed,< 10%,94,1005820080-3
US,Journalism,345,1005824767-0
Journalism,> 50 days,345,1005824767-1
> 50 days,failed,345,1005824767-2
failed,< 10%,345,1005824767-3
CA,Music,167,1005829490-0
Music,20-30 days,167,1005829490-1
20-30 days,successful,167,1005829490-2
successful,100% - 120%,167,1005829490-3
BE,Film & Video,8,1005838632-0
Film & Video,> 50 days,8,1005838632-1
> 50 days,failed,8,1005838632-2
failed,< 10%,8,1005838632-3
ES,Dance,6,1005844450-0
Dance,20-30 days,6,1005844450-1
20-30 days,failed,6,1005844450-2
failed,< 10%,6,1005844450-3
US,Technology,181,1005848496-0
Technology,> 50 days,181,1005848496-1
> 50 days,successful,181,1005848496-2
successful,> 200%,181,1005848496-3
GB,Design,22,1005889641-0
Design,> 50 days,22,1005889641-1
> 50 days,successful,22,1005889641-2
successful,> 200%,22,1005889641-3
GB,Journalism,13,100590427-0
Journalism,20-30 days,13,100590427-1
20-30 days,failed,13,100590427-2
failed,10% - 25%,13,100590427-3
NL,Fashion,77,1005933132-0
Fashion,20-30 days,77,1005933132-1
20-30 days,failed,77,1005933132-2
failed,< 10%,77,1005933132-3
US,Crafts,81,1005958623-0
Crafts,10-20 days,81,1005958623-1
10-20 days,successful,81,1005958623-2
successful,> 200%,81,1005958623-3
US,Design,206,1005963962-0
Design,20-30 days,206,1005963962-1
20-30 days,canceled,206,1005963962-2
canceled,10% - 25%,206,1005963962-3
US,Comics,154,1005969894-0
Comics,40-50 days,154,1005969894-1
40-50 days,failed,154,1005969894-2
failed,< 10%,154,1005969894-3
US,Food,1007,1005987818-0
Food,20-30 days,1007,1005987818-1
20-30 days,failed,1007,1005987818-2
failed,10% - 25%,1007,1005987818-3
LU,Technology,1,1005999335-0
Technology,20-30 days,1,1005999335-1
20-30 days,failed,1,1005999335-2
failed,10% - 25%,1,1005999335-3
GB,Games,69,1006008989-0
Games,30-50 days,69,1006008989-1
30-50 days,successful,69,1006008989-2
successful,120% - 200%,69,1006008989-3
DE,Photography,1,1006032032-0
Photography,20-30 days,1,1006032032-1
20-30 days,suspended,1,1006032032-2
suspended,< 10%,1,1006032032-3
AT,Comics,1,1006062529-0
Comics,30-50 days,1,1006062529-1
30-50 days,failed,1,1006062529-2
failed,< 10%,1,1006062529-3
NL,Art,2,100607048-0
Art,20-30 days,2,100607048-1
20-30 days,failed,2,100607048-2
failed,50% - 100%,2,100607048-3
NZ,Art,7,1006071976-0
Art,20-30 days,7,1006071976-1
20-30 days,failed,7,1006071976-2
failed,25% - 50%,7,1006071976-3
GB,Theater,5,1006075060-0
Theater,< 10 days,5,1006075060-1
< 10 days,successful,5,1006075060-2
successful,120% - 200%,5,1006075060-3
US,Technology,29,1006075634-0
Technology,40-50 days,29,1006075634-1
40-50 days,canceled,29,1006075634-2
canceled,50% - 100%,29,1006075634-3
AT,Art,15,1006096554-0
Art,20-30 days,15,1006096554-1
20-30 days,failed,15,1006096554-2
failed,< 10%,15,1006096554-3
FR,Food,1,100609913-0
Food,30-50 days,1,100609913-1
30-50 days,successful,1,100609913-2
successful,120% - 200%,1,100609913-3
US,Technology,82,1006106331-0
Technology,> 50 days,82,1006106331-1
> 50 days,failed,82,1006106331-2
failed,25% - 50%,82,1006106331-3
US,Games,406,1006130738-0
Games,30-50 days,406,1006130738-1
30-50 days,failed,406,1006130738-2
failed,10% - 25%,406,1006130738-3
US,Crafts,334,1006159793-0
Crafts,> 50 days,334,1006159793-1
> 50 days,failed,334,1006159793-2
failed,< 10%,334,1006159793-3
GB,Design,115,100617198-0
Design,30-50 days,115,100617198-1
30-50 days,failed,115,100617198-2
failed,< 10%,115,100617198-3
MX,Food,4,1006213538-0
Food,30-50 days,4,1006213538-1
30-50 days,successful,4,1006213538-2
successful,100% - 120%,4,1006213538-3
US,Film & Video,102,1006239815-0
Film & Video,20-30 days,102,1006239815-1
20-30 days,canceled,102,1006239815-2
canceled,25% - 50%,102,1006239815-3
US,Film & Video,155,100625301-0
Film & Video,10-20 days,155,100625301-1
10-20 days,failed,155,100625301-2
failed,25% - 50%,155,100625301-3
NZ,Theater,4,1006259122-0
Theater,20-30 days,4,1006259122-1
20-30 days,failed,4,1006259122-2
failed,< 10%,4,1006259122-3
GB,Design,125,100626163-0
Design,20-30 days,125,100626163-1
20-30 days,canceled,125,100626163-2
canceled,< 10%,125,100626163-3
US,Music,344,1006282460-0
Music,30-50 days,344,1006282460-1
30-50 days,failed,344,1006282460-2
failed,25% - 50%,344,1006282460-3
US,Fashion,163,1006300664-0
Fashion,> 50 days,163,1006300664-1
> 50 days,canceled,163,1006300664-2
canceled,< 10%,163,1006300664-3
IT,Photography,7,1006355624-0
Photography,> 50 days,7,1006355624-1
> 50 days,failed,7,1006355624-2
failed,< 10%,7,1006355624-3
DE,Technology,31,100635918-0
Technology,20-30 days,31,100635918-1
20-30 days,successful,31,100635918-2
successful,> 200%,31,100635918-3
US,Games,363,100636650-0
Games,20-30 days,363,100636650-1
20-30 days,canceled,363,100636650-2
canceled,10% - 25%,363,100636650-3
US,Comics,373,1006376324-0
Comics,20-30 days,373,1006376324-1
20-30 days,failed,373,1006376324-2
failed,10% - 25%,373,1006376324-3
CA,Games,146,1006391233-0
Games,20-30 days,146,1006391233-1
20-30 days,canceled,146,1006391233-2
canceled,< 10%,146,1006391233-3
CA,Design,12,1006461045-0
Design,30-50 days,12,1006461045-1
30-50 days,failed,12,1006461045-2
failed,50% - 100%,12,1006461045-3
GB,Theater,30,1006462050-0
Theater,10-20 days,30,1006462050-1
10-20 days,failed,30,1006462050-2
failed,< 10%,30,1006462050-3
US,Fashion,19,1006486524-0
Fashion,< 10 days,19,1006486524-1
< 10 days,canceled,19,1006486524-2
canceled,< 10%,19,1006486524-3
GB,Fashion,82,1006507504-0
Fashion,20-30 days,82,1006507504-1
20-30 days,successful,82,1006507504-2
successful,> 200%,82,1006507504-3
GB,Games,178,1006519656-0
Games,20-30 days,178,1006519656-1
20-30 days,successful,178,1006519656-2
successful,100% - 120%,178,1006519656-3
GB,Theater,150,1006522756-0
Theater,20-30 days,150,1006522756-1
20-30 days,successful,150,1006522756-2
successful,120% - 200%,150,1006522756-3
AU,Film & Video,108,1006597254-0
Film & Video,20-30 days,108,1006597254-1
20-30 days,successful,108,1006597254-2
successful,100% - 120%,108,1006597254-3
US,Dance,119,1006614415-0
Dance,> 50 days,119,1006614415-1
> 50 days,successful,119,1006614415-2
successful,100% - 120%,119,1006614415-3
US,Technology,32,1006623565-0
Technology,40-50 days,32,1006623565-1
40-50 days,canceled,32,1006623565-2
canceled,25% - 50%,32,1006623565-3
GB,Design,20,1006634155-0
Design,> 50 days,20,1006634155-1
> 50 days,failed,20,1006634155-2
failed,10% - 25%,20,1006634155-3
US,Dance,36,1006679476-0
Dance,40-50 days,36,1006679476-1
40-50 days,successful,36,1006679476-2
successful,120% - 200%,36,1006679476-3
IT,Technology,181,1006692649-0
Technology,20-30 days,181,1006692649-1
20-30 days,failed,181,1006692649-2
failed,< 10%,181,1006692649-3
MX,Theater,9,10067082-0
Theater,20-30 days,9,10067082-1
20-30 days,failed,9,10067082-2
failed,< 10%,9,10067082-3
GB,Publishing,172,1006817722-0
Publishing,20-30 days,172,1006817722-1
20-30 days,failed,172,1006817722-2
failed,10% - 25%,172,1006817722-3
US,Food,81,1006835138-0
Food,> 50 days,81,1006835138-1
> 50 days,failed,81,1006835138-2
failed,25% - 50%,81,1006835138-3
US,Technology,45,1006858038-0
Technology,40-50 days,45,1006858038-1
40-50 days,canceled,45,1006858038-2
canceled,10% - 25%,45,1006858038-3
CA,Comics,60,1006862039-0
Comics,20-30 days,60,1006862039-1
20-30 days,successful,60,1006862039-2
successful,100% - 120%,60,1006862039-3
CH,Publishing,15,1006879647-0
Publishing,20-30 days,15,1006879647-1
20-30 days,failed,15,1006879647-2
failed,< 10%,15,1006879647-3
GB,Music,102,1006881332-0
Music,20-30 days,102,1006881332-1
20-30 days,canceled,102,1006881332-2
canceled,< 10%,102,1006881332-3
GB,Design,12,1006890111-0
Design,30-50 days,12,1006890111-1
30-50 days,canceled,12,1006890111-2
canceled,10% - 25%,12,1006890111-3
US,Dance,61,1006906467-0
Dance,10-20 days,61,1006906467-1
10-20 days,successful,61,1006906467-2
successful,120% - 200%,61,1006906467-3
AU,Film & Video,84,1006916666-0
Film & Video,> 50 days,84,1006916666-1
> 50 days,failed,84,1006916666-2
failed,< 10%,84,1006916666-3
GB,Fashion,14,1006927409-0
Fashion,> 50 days,14,1006927409-1
> 50 days,successful,14,1006927409-2
successful,100% - 120%,14,1006927409-3
US,Games,84,1006938081-0
Games,< 10 days,84,1006938081-1
< 10 days,failed,84,1006938081-2
failed,< 10%,84,1006938081-3
GB,Theater,161,1007013403-0
Theater,20-30 days,161,1007013403-1
20-30 days,failed,161,1007013403-2
failed,< 10%,161,1007013403-3
CH,Crafts,1,1007021695-0
Crafts,> 50 days,1,1007021695-1
> 50 days,failed,1,1007021695-2
failed,< 10%,1,1007021695-3
IT,Film & Video,1,1007023657-0
Film & Video,> 50 days,1,1007023657-1
> 50 days,failed,1,1007023657-2
failed,25% - 50%,1,1007023657-3
ES,Art,3,1007034926-0
Art,30-50 days,3,1007034926-1
30-50 days,successful,3,1007034926-2
successful,120% - 200%,3,1007034926-3
GB,Theater,2,1007035613-0
Theater,40-50 days,2,1007035613-1
40-50 days,canceled,2,1007035613-2
canceled,10% - 25%,2,1007035613-3
US,Design,136,1007043144-0
Design,20-30 days,136,1007043144-1
20-30 days,canceled,136,1007043144-2
canceled,25% - 50%,136,1007043144-3
US,Film & Video,109,1007045506-0
Film & Video,> 50 days,109,1007045506-1
> 50 days,successful,109,1007045506-2
successful,> 200%,109,1007045506-3
US,Publishing,133,1007079209-0
Publishing,10-20 days,133,1007079209-1
10-20 days,failed,133,1007079209-2
failed,10% - 25%,133,1007079209-3
FR,Technology,36,1007112532-0
Technology,40-50 days,36,1007112532-1
40-50 days,failed,36,1007112532-2
failed,< 10%,36,1007112532-3
US,Crafts,66,1007127395-0
Crafts,10-20 days,66,1007127395-1
10-20 days,successful,66,1007127395-2
successful,120% - 200%,66,1007127395-3
US,Music,284,1007132696-0
Music,20-30 days,284,1007132696-1
20-30 days,failed,284,1007132696-2
failed,50% - 100%,284,1007132696-3
CA,Film & Video,142,1007163014-0
Film & Video,> 50 days,142,1007163014-1
> 50 days,failed,142,1007163014-2
failed,< 10%,142,1007163014-3
MX,Art,13,1007170928-0
Art,> 50 days,13,1007170928-1
> 50 days,failed,13,1007170928-2
failed,< 10%,13,1007170928-3
US,Photography,221,1007204515-0
Photography,10-20 days,221,1007204515-1
10-20 days,failed,221,1007204515-2
failed,< 10%,221,1007204515-3
GB,Design,55,1007216026-0
Design,30-50 days,55,1007216026-1
30-50 days,successful,55,1007216026-2
successful,120% - 200%,55,1007216026-3
MX,Technology,19,1007217653-0
Technology,40-50 days,19,1007217653-1
40-50 days,failed,19,1007217653-2
failed,< 10%,19,1007217653-3
GB,Dance,55,100724397-0
Dance,20-30 days,55,100724397-1
20-30 days,successful,55,100724397-2
successful,100% - 120%,55,100724397-3
GB,Art,126,1007254417-0
Art,20-30 days,126,1007254417-1
20-30 days,successful,126,1007254417-2
successful,> 200%,126,1007254417-3
GB,Design,103,1007262945-0
Design,20-30 days,103,1007262945-1
20-30 days,failed,103,1007262945-2
failed,25% - 50%,103,1007262945-3
US,Technology,5,1007266579-0
Technology,20-30 days,5,1007266579-1
20-30 days,live,5,1007266579-2
live,25% - 50%,5,1007266579-3
CA,Fashion,72,100727022-0
Fashion,20-30 days,72,100727022-1
20-30 days,canceled,72,100727022-2
canceled,< 10%,72,100727022-3
US,Music,106,100729444-0
Music,< 10 days,106,100729444-1
< 10 days,successful,106,100729444-2
successful,120% - 200%,106,100729444-3
US,Fashion,412,100730862-0
Fashion,30-50 days,412,100730862-1
30-50 days,successful,412,100730862-2
successful,100% - 120%,412,100730862-3
GB,Music,62,1007337083-0
Music,30-50 days,62,1007337083-1
30-50 days,successful,62,1007337083-2
successful,120% - 200%,62,1007337083-3
FR,Technology,184,1007343920-0
Technology,20-30 days,184,1007343920-1
20-30 days,failed,184,1007343920-2
failed,< 10%,184,1007343920-3
US,Comics,39,1007356461-0
Comics,40-50 days,39,1007356461-1
40-50 days,failed,39,1007356461-2
failed,25% - 50%,39,1007356461-3
GB,Film & Video,197,1007375303-0
Film & Video,10-20 days,197,1007375303-1
10-20 days,failed,197,1007375303-2
failed,< 10%,197,1007375303-3
US,Technology,263,100737979-0
Technology,40-50 days,263,100737979-1
40-50 days,canceled,263,100737979-2
canceled,< 10%,263,100737979-3
US,Publishing,127,1007403960-0
Publishing,40-50 days,127,1007403960-1
40-50 days,failed,127,1007403960-2
failed,25% - 50%,127,1007403960-3
GB,Technology,125,100741369-0
Technology,20-30 days,125,100741369-1
20-30 days,successful,125,100741369-2
successful,> 200%,125,100741369-3
AU,Photography,28,1007434135-0
Photography,> 50 days,28,1007434135-1
> 50 days,failed,28,1007434135-2
failed,< 10%,28,1007434135-3
US,Food,205,1007454373-0
Food,> 50 days,205,1007454373-1
> 50 days,canceled,205,1007454373-2
canceled,< 10%,205,1007454373-3
CA,Photography,115,1007510708-0
Photography,20-30 days,115,1007510708-1
20-30 days,failed,115,1007510708-2
failed,< 10%,115,1007510708-3
AU,Fashion,6,1007513533-0
Fashion,< 10 days,6,1007513533-1
< 10 days,failed,6,1007513533-2
failed,< 10%,6,1007513533-3
ES,Fashion,56,1007529099-0
Fashion,20-30 days,56,1007529099-1
20-30 days,failed,56,1007529099-2
failed,< 10%,56,1007529099-3
NO,Comics,3,1007541516-0
Comics,20-30 days,3,1007541516-1
20-30 days,failed,3,1007541516-2
failed,< 10%,3,1007541516-3
US,Technology,106,1007566985-0
Technology,> 50 days,106,1007566985-1
> 50 days,successful,106,1007566985-2
successful,100% - 120%,106,1007566985-3
US,Music,271,1007588179-0
Music,> 50 days,271,1007588179-1
> 50 days,failed,271,1007588179-2
failed,25% - 50%,271,1007588179-3
US,Photography,143,100762302-0
Photography,30-50 days,143,100762302-1
30-50 days,successful,143,100762302-2
successful,120% - 200%,143,100762302-3
US,Design,157,1007626797-0
Design,40-50 days,157,1007626797-1
40-50 days,failed,157,1007626797-2
failed,25% - 50%,157,1007626797-3
NZ,Games,39,1007629591-0
Games,20-30 days,39,1007629591-1
20-30 days,failed,39,1007629591-2
failed,< 10%,39,1007629591-3
DE,Art,48,1007634693-0
Art,20-30 days,48,1007634693-1
20-30 days,failed,48,1007634693-2
failed,< 10%,48,1007634693-3
US,Art,49,10076573-0
Art,10-20 days,49,10076573-1
10-20 days,failed,49,10076573-2
failed,50% - 100%,49,10076573-3
GB,Theater,48,1007678722-0
Theater,20-30 days,48,1007678722-1
20-30 days,failed,48,1007678722-2
failed,10% - 25%,48,1007678722-3
CA,Film & Video,81,1007681578-0
Film & Video,20-30 days,81,1007681578-1
20-30 days,canceled,81,1007681578-2
canceled,< 10%,81,1007681578-3
US,Theater,615,1007692394-0
Theater,20-30 days,615,1007692394-1
20-30 days,successful,615,1007692394-2
successful,120% - 200%,615,1007692394-3
IT,Design,12,1007697337-0
Design,20-30 days,12,1007697337-1
20-30 days,successful,12,1007697337-2
successful,100% - 120%,12,1007697337-3
US,Publishing,209,1007699457-0
Publishing,< 10 days,209,1007699457-1
< 10 days,failed,209,1007699457-2
failed,< 10%,209,1007699457-3
CA,Games,9,1007699549-0
Games,10-20 days,9,1007699549-1
10-20 days,successful,9,1007699549-2
successful,100% - 120%,9,1007699549-3
US,Publishing,6,1007700830-0
Publishing,30-50 days,6,1007700830-1
30-50 days,live,6,1007700830-2
live,25% - 50%,6,1007700830-3
US,Publishing,51,100772001-0
Publishing,20-30 days,51,100772001-1
20-30 days,canceled,51,100772001-2
canceled,25% - 50%,51,100772001-3
CA,Games,81,100776736-0
Games,20-30 days,81,100776736-1
20-30 days,failed,81,100776736-2
failed,10% - 25%,81,100776736-3
MX,Design,10,1007786436-0
Design,30-50 days,10,1007786436-1
30-50 days,failed,10,1007786436-2
failed,< 10%,10,1007786436-3
US,Publishing,31,1007811196-0
Publishing,< 10 days,31,1007811196-1
< 10 days,canceled,31,1007811196-2
canceled,< 10%,31,1007811196-3
CA,Games,33,1007823886-0
Games,30-50 days,33,1007823886-1
30-50 days,failed,33,1007823886-2
failed,10% - 25%,33,1007823886-3
US,Music,32,1007825941-0
Music,< 10 days,32,1007825941-1
< 10 days,canceled,32,1007825941-2
canceled,< 10%,32,1007825941-3
AU,Design,15,1007827671-0
Design,40-50 days,15,1007827671-1
40-50 days,successful,15,1007827671-2
successful,> 200%,15,1007827671-3
GB,Art,14,10078468-0
Art,10-20 days,14,10078468-1
10-20 days,failed,14,10078468-2
failed,10% - 25%,14,10078468-3
DK,Games,20,1007855968-0
Games,20-30 days,20,1007855968-1
20-30 days,failed,20,1007855968-2
failed,< 10%,20,1007855968-3
FR,Film & Video,29,1007882169-0
Film & Video,20-30 days,29,1007882169-1
20-30 days,successful,29,1007882169-2
successful,100% - 120%,29,1007882169-3
NO,Film & Video,3,1007907274-0
Film & Video,20-30 days,3,1007907274-1
20-30 days,successful,3,1007907274-2
successful,120% - 200%,3,1007907274-3
US,Theater,233,1007932118-0
Theater,30-50 days,233,1007932118-1
30-50 days,failed,233,1007932118-2
failed,< 10%,233,1007932118-3
CA,Games,83,1007962251-0
Games,20-30 days,83,1007962251-1
20-30 days,successful,83,1007962251-2
successful,100% - 120%,83,1007962251-3
US,Fashion,173,1007964911-0
Fashion,20-30 days,173,1007964911-1
20-30 days,failed,173,1007964911-2
failed,50% - 100%,173,1007964911-3
CH,Technology,20,1007966915-0
Technology,> 50 days,20,1007966915-1
> 50 days,failed,20,1007966915-2
failed,< 10%,20,1007966915-3
IT,Games,64,1007972386-0
Games,20-30 days,64,1007972386-1
20-30 days,failed,64,1007972386-2
failed,< 10%,64,1007972386-3
US,Technology,48,1007978597-0
Technology,20-30 days,48,1007978597-1
20-30 days,canceled,48,1007978597-2
canceled,50% - 100%,48,1007978597-3
GB,Art,32,1007979618-0
Art,10-20 days,32,1007979618-1
10-20 days,successful,32,1007979618-2
successful,> 200%,32,1007979618-3
AU,Design,25,100798059-0
Design,40-50 days,25,100798059-1
40-50 days,failed,25,100798059-2
failed,< 10%,25,100798059-3
GB,Music,34,10079869-0
Music,> 50 days,34,10079869-1
> 50 days,failed,34,10079869-2
failed,10% - 25%,34,10079869-3
US,Publishing,174,1007988914-0
Publishing,> 50 days,174,1007988914-1
> 50 days,successful,174,1007988914-2
successful,120% - 200%,174,1007988914-3
US,Technology,19,1007993089-0
Technology,< 10 days,19,1007993089-1
< 10 days,successful,19,1007993089-2
successful,100% - 120%,19,1007993089-3
US,Art,26,10080310-0
Art,20-30 days,26,10080310-1
20-30 days,suspended,26,10080310-2
suspended,< 10%,26,10080310-3
GB,Music,55,100803420-0
Music,20-30 days,55,100803420-1
20-30 days,successful,55,100803420-2
successful,> 200%,55,100803420-3
US,Crafts,238,1008098717-0
Crafts,10-20 days,238,1008098717-1
10-20 days,failed,238,1008098717-2
failed,< 10%,238,1008098717-3
US,Art,120,1008169564-0
Art,> 50 days,120,1008169564-1
> 50 days,failed,120,1008169564-2
failed,25% - 50%,120,1008169564-3
US,Publishing,12,1008176449-0
Publishing,30-50 days,12,1008176449-1
30-50 days,live,12,1008176449-2
live,< 10%,12,1008176449-3
US,Design,235,1008192056-0
Design,40-50 days,235,1008192056-1
40-50 days,successful,235,1008192056-2
successful,120% - 200%,235,1008192056-3
AU,Fashion,30,1008211376-0
Fashion,30-50 days,30,1008211376-1
30-50 days,failed,30,1008211376-2
failed,< 10%,30,1008211376-3
US,Design,12,100822204-0
Design,> 50 days,12,100822204-1
> 50 days,live,12,100822204-2
live,> 200%,12,100822204-3
DE,Games,24,1008225216-0
Games,20-30 days,24,1008225216-1
20-30 days,successful,24,1008225216-2
successful,120% - 200%,24,1008225216-3
US,Games,182,1008253437-0
Games,30-50 days,182,1008253437-1
