from,to,value,id
US,Photography,342,100020143-0
Photography,30-50 days,342,100020143-1
30-50 days,failed,342,100020143-2
failed,< 10%,342,100020143-3
US,Art,4172,1000202062-0
Art,20-30 days,4172,1000202062-1
20-30 days,failed,4172,1000202062-2
failed,< 10%,4172,1000202062-3
US,Food,5663,1000217634-0
Food,20-30 days,5663,1000217634-1
20-30 days,failed,5663,1000217634-2
failed,< 10%,5663,1000217634-3
US,Publishing,8275,1000226576-0
Publishing,20-30 days,8275,1000226576-1
20-30 days,failed,8275,1000226576-2
failed,< 10%,8275,1000226576-3
US,Film & Video,1220,1000227361-0
Film & Video,40-50 days,1220,1000227361-1
40-50 days,successful,1220,1000227361-2
successful,100% - 120%,1220,1000227361-3
US,Film & Video,9815,1000230071-0
Film & Video,20-30 days,9815,1000230071-1
20-30 days,failed,9815,1000230071-2
failed,< 10%,9815,1000230071-3
US,Games,1436,1000232288-0
Games,20-30 days,1436,1000232288-1
20-30 days,successful,1436,1000232288-2
successful,120% - 200%,1436,1000232288-3
IT,Fashion,81,1000234595-0
Fashion,20-30 days,81,1000234595-1
20-30 days,failed,81,1000234595-2
failed,< 10%,81,1000234595-3
US,Art,961,1000235465-0
Art,20-30 days,961,1000235465-1
20-30 days,failed,961,1000235465-2
failed,10% - 25%,961,1000235465-3
US,Food,51,1000235643-0
Food,40-50 days,51,1000235643-1
40-50 days,successful,51,1000235643-2
successful,> 200%,51,1000235643-3
US,Music,61,1000243793-0
Music,40-50 days,61,1000243793-1
40-50 days,failed,61,1000243793-2
failed,50% - 100%,61,1000243793-3
CA,Technology,556,1000245024-0
Technology,20-30 days,556,1000245024-1
20-30 days,failed,556,1000245024-2
failed,< 10%,556,1000245024-3
US,Theater,382,1000252415-0
Theater,> 50 days,382,1000252415-1
> 50 days,successful,382,1000252415-2
successful,100% - 120%,382,1000252415-3
GB,Technology,1020,1000256230-0
Technology,20-30 days,1020,1000256230-1
20-30 days,failed,1020,1000256230-2
failed,< 10%,1020,1000256230-3
